code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000060,中金岭南,铅锌,深圳,21.66,35.68,35.7,209.82,68.64,74.25,15.49,0.43,0.104,3.1,1.45,19970123,52.52,1.47,54.91,-21.19,6.66,2.58,148390
000061,农 产 品,农业综合,深圳,34.62,16.95,16.97,186.39,32.04,20,27.96,1.65,0.112,3.11,2.5,19970110,5.04,0.3,10.81,107.64,38.6,12.78,73000
000062,深圳华强,批发业,深圳,27.03,10.45,10.46,108.43,69.85,2.52,6.48,0.62,0.27,5.1,2.86,19970130,31.72,3.03,10.26,-17.6,10.59,4.32,32321
000063,中兴通讯,通信设备,深圳,43.1,34.76,46.13,1654.32,1252.53,103.15,232.72,5.04,0.403,8.92,3.89,19971118,126.15,2.73,5.81,26.29,33.43,3.93,513906
000065,北方国际,建筑工程,北京,11.1,6.73,7.7,169.7,118.42,6.88,9.15,1.19,0.35,6.47,1.2,19980605,31.02,4.03,7.31,-25.29,13.57,6.58,30124
000066,中国长城,IT设备,深圳,0,29.28,29.28,254.73,175.26,27.43,6.07,0.21,-0.103,2.73,6.33,19970626,36.85,1.26,-9.27,-259.89,20.44,-7.64,185079
000068,华控赛格,环境保护,深圳,0,10.07,10.07,35.93,9.7,2.02,11.93,1.19,-0.05,0.48,6.65,19970611,-18.79,-1.87,39.66,-8.75,30.11,-60.17,46940
000069,华侨城Ａ,旅游景点,深圳,13.79,70.37,82.02,4141.91,3294.02,157.6,51.92,0.63,0.261,8.17,0.88,19970910,517.56,6.31,-3.09,-23.91,54.88,12.5,130036
000070,特发信息,通信设备,深圳,0,7.95,8.17,81.18,59.05,5.8,9.29,1.14,-0.05,3.44,3.08,20000511,9.75,1.19,-21.98,-160.99,14.76,-2.46,54676
000078,海王生物,医药商业,深圳,45.39,26.21,27.63,400.89,335.48,9.37,25.63,0.93,0.046,2.31,1.82,19981218,13.06,0.47,-14.32,-37.12,12.69,0.72,220739
000088,盐 田 港,港口,深圳,50.89,22.49,22.49,112.08,8.94,31.69,8.11,0.36,0.08,3.72,1.85,19970728,34.91,1.55,-19.4,3.86,25.63,66.36,60762
000089,深圳机场,机场,深圳,0,20.51,20.51,139.31,26.19,72.62,27.93,1.36,-0.074,5.73,1.66,19980420,59.13,2.88,-31.03,-149.16,-5.5,-11.81,83689
000090,天健集团,建筑工程,深圳,5.47,18.68,18.69,432.28,380.8,4.06,15.62,0.84,0.63,4.5,1.62,19990721,37.89,2.03,85.02,416.82,37.65,17.12,39085
000096,广聚能源,石油贸易,深圳,107.68,5.11,5.28,29.43,16.25,0.55,3.51,0.67,0.052,5.17,2.18,20000724,13.45,2.55,-26.31,-22.23,8.84,4.7,25318
000099,中信海直,空运,深圳,32.65,6.06,6.06,57.03,22.98,23.41,10.33,1.7,0.117,5.46,1.4,20000731,14.28,2.36,-8.33,-21.71,21.13,10.3,53093
000100,TCL科技,元器件,广东,37.27,126.6,135.19,1848.33,599.83,598.57,57.64,0.43,0.089,2.22,3,20040130,110.44,0.82,-33,-42.26,8.84,4.12,467018
000150,宜华健康,医疗保健,广东,0,8.06,8.78,57.09,22.6,6.39,3.22,0.37,-0.166,0.74,4.87,20000807,-6.46,-0.74,-16.04,-2338.56,13.34,-18.45,40632
000151,中成股份,商贸代理,北京,163.92,2.67,2.96,22.36,17.44,0.55,4.42,1.49,0.028,3.21,2.87,20000906,0.61,0.21,-5.6,159.24,11.82,2.12,29683
000153,丰原药业,化学制药,安徽,24.81,3.12,3.12,35.07,16.68,6.97,4.96,1.59,0.185,4.4,2.09,20000920,4.75,1.52,0.63,2.09,35.69,3.66,36750
000155,川能动力,新型电力,四川,16.26,12.7,12.7,76.39,27.45,29.74,33.1,2.61,0.148,2.92,1.65,20000926,-10.7,-0.84,1.36,-18.01,40.52,19.17,34177
000156,华数传媒,影视音像,浙江,24.01,12.8,14.33,158.11,95.88,30.92,62.59,4.37,0.22,7.27,1.45,20000906,23.21,1.62,11.15,-22.03,35.13,17.2,52144
000157,中联重科,工程机械,湖南,8.43,64.36,78.99,1083.74,750.06,56.43,129.12,1.63,0.54,5.61,1.53,20001012,214.49,2.72,29.49,55.97,29.36,13.94,231777
000158,常山北明,软件服务,河北,0,15.73,15.99,140.36,80.38,23.46,26.51,1.66,-0.053,3.65,2.23,20000724,13.35,0.84,-17.25,-384.31,9.35,-2.37,98926
000159,国际实业,石油贸易,新疆,23.14,4.81,4.81,28.27,13.77,3.06,3.73,0.78,0.14,4.67,1.39,20000926,12.6,2.62,2.92,486.78,26.02,39.78,64336
000166,申万宏源,证券,新疆,16.69,225.36,250.4,4416.34,0,11.49,193.67,0.77,0.161,3.38,1.59,20150126,254.91,1.02,27.68,26.03,0,30.14,289637
000301,东方盛虹,化纤,江苏,240.84,12.61,48.35,445.88,135.54,129.43,72.77,1.51,0.02,3.57,1.76,20000529,16.99,0.35,-22.87,-92.08,5.48,0.66,67515
000333,美的集团,家用电器,广东,17.65,68.39,70.22,3346.63,2308.37,222.79,208.51,2.97,2.01,14.98,4.68,20130918,755.2,10.76,-9.56,-8.29,25.56,10.02,184209
000338,潍柴动力,汽车配件,山东,13.56,42.44,79.34,2609.78,1451.61,290.55,1.18,0.01,0.59,6.14,2.61,20070430,408.42,5.15,4,-11.48,19.58,4.95,183187
